id,201605180750,201605180755,201605180800,201605180805
22528,1,1,1,1
22529,1,1,1,1
22531,2,1,2,2
22535,2,2,3,3
22552,3,3,3,3
22553,1,1,1,1
22555,1,2,2,1
22556,2,2,2,2
22575,1,1,1,1
22579,2,2,2,2
22598,1,2,2,2
22610,1,1,1,1
22611,1,1,1,1
22627,1,1,1,1
22628,2,2,2,2
22629,2,3,3,3
22638,1,1,1,1
22668,3,3,3,3
22670,1,1,1,1
22671,1,1,1,1
22688,1,1,1,1
22692,1,1,1,1
22693,1,1,1,1
22700,2,2,2,1
22703,1,1,1,1
22706,2,2,2,2
22707,2,2,1,1
22708,1,1,1,1
22719,1,1,1,1
22726,1,1,2,3
22727,1,1,1,1
26853,1,2,2,2
26854,1,2,1,1
22769,2,2,1,1
22770,2,3,2,1
22771,1,1,1,1
22777,3,1,1,2
30990,1,1,1,1
30991,1,1,1,1
22810,1,1,1,1
22813,1,1,1,1
22815,1,1,1,1
26920,1,1,1,1
26933,2,2,1,1
26934,2,1,1,1
22877,1,1,1,1
22878,1,1,1,1
22900,1,1,1,1
22901,1,2,2,2
22926,1,1,1,1
33189,1,1,1,1
33195,1,1,1,1
27053,1,1,1,1
20915,1,1,2,2
20916,1,1,1,1
20920,1,2,2,1
27095,1,1,1,1
23004,1,1,2,2
23005,1,1,1,1
23006,1,1,1,1
23019,1,1,1,1
27121,1,1,2,1
23048,2,2,2,2
33291,1,1,1,1
33292,1,1,1,1
21029,2,1,1,1
23080,2,1,1,1
21053,1,1,1,1
23112,1,1,1,2
23114,1,1,1,1
23154,1,1,1,1
23155,1,1,1,1
23156,1,1,1,1
23157,1,1,1,1
23158,1,1,1,1
23159,1,1,1,1
27265,1,1,1,1
27266,1,1,1,1
25224,1,1,1,1
25225,1,1,1,1
25226,1,1,1,1
25227,1,1,1,1
25228,1,1,1,1
25229,2,2,2,1
27276,1,1,1,2
21133,1,1,1,1
25230,2,2,2,2
27277,1,1,1,1
21129,1,1,1,1
21130,1,1,1,1
23190,2,2,2,2
27294,1,1,1,1
27295,2,2,1,1
27303,2,3,1,1
27308,1,1,1,1
27309,1,1,1,1
27310,1,1,1,1
27311,1,1,1,1
23216,1,1,1,1
23217,1,1,1,1
27315,1,1,1,1
25269,1,0,1,1
25270,1,0,1,1
25271,1,1,1,1
27318,3,3,3,2
27319,3,2,2,2
21174,1,1,1,1
23229,2,2,3,1
23231,2,2,2,2
25377,1,2,1,1
23240,3,3,3,3
27363,2,3,2,2
27364,2,2,2,2
27365,2,2,1,1
27366,1,1,1,1
27367,1,1,1,1
27370,1,1,3,2
27371,1,1,1,3
33530,1,1,1,1
25338,1,1,1,1
25344,1,1,1,1
25345,1,2,1,1
25346,1,1,1,1
25347,1,1,1,1
27396,1,1,1,1
27399,2,2,2,2
25358,1,1,1,1
25359,1,1,1,1
27411,2,2,2,1
25365,1,1,2,1
27416,1,1,1,1
27417,2,2,2,2
33568,2,1,2,2
25376,1,1,1,1
33569,1,1,2,1
25379,1,2,2,1
27427,1,1,2,1
25381,4,4,4,1
27429,2,2,2,2
25378,3,3,2,2
33574,3,2,2,2
27431,1,1,1,1
25384,3,3,3,2
25385,1,1,1,1
25386,1,1,1,1
25387,1,1,1,1
25388,3,3,3,2
25389,1,1,1,1
25390,1,2,1,1
27435,1,1,1,1
25391,1,1,1,1
23361,1,1,1,1
21319,1,2,3,3
25418,1,3,1,1
21336,1,2,2,2
21337,3,3,3,1
21338,3,3,2,1
27499,3,3,3,3
25459,1,1,1,1
25460,2,2,2,1
25461,2,2,2,1
25465,1,1,1,1
25466,1,1,1,1
25473,1,1,1,1
25474,1,1,1,2
25475,1,1,1,1
25476,1,1,1,1
25480,3,1,1,1
25481,2,2,2,2
25482,1,1,1,1
21397,1,1,2,1
21398,1,1,1,1
21407,1,1,1,1
21413,2,1,1,1
25513,1,1,1,1
25514,1,1,1,1
25524,1,1,1,1
25526,2,1,1,1
21434,1,1,2,1
21435,1,1,1,1
23496,1,1,1,1
23497,2,1,1,1
23498,1,1,1,1
25555,1,1,1,1
25556,1,1,1,1
25557,1,1,1,2
25558,1,1,1,1
25559,1,1,1,1
25560,2,2,2,2
25561,2,2,2,2
25568,1,1,1,1
25583,1,1,1,1
23541,1,1,1,1
23542,1,1,1,1
23543,1,1,1,1
21501,1,2,2,1
21503,1,1,1,1
27655,3,3,3,2
27664,1,1,1,1
27665,2,1,1,1
27672,1,2,2,2
27673,1,1,1,1
27674,1,1,1,1
27675,1,1,1,1
27676,1,1,1,1
27677,1,1,1,1
27679,1,2,2,1
27682,1,2,1,1
27685,1,1,1,2
27686,1,1,1,1
27687,1,1,1,1
27692,1,2,1,1
27693,1,2,1,1
27694,1,1,1,1
27732,1,1,1,1
27733,1,1,1,1
27734,1,1,1,1
27735,2,3,3,3
33889,1,1,2,2
27761,1,1,3,3
27762,1,1,1,1
27763,3,2,3,2
27764,2,2,2,2
27776,2,1,1,1
27777,2,2,1,1
23682,1,1,2,2
27778,4,3,2,3
23683,2,2,2,2
23681,1,2,2,2
23693,1,1,1,1
35982,2,2,1,1
27798,1,1,1,1
27808,1,1,1,1
27809,3,4,4,3
27810,2,1,1,1
27811,3,3,3,3
27812,1,1,1,1
36002,1,1,1,1
27821,3,3,4,3
27822,3,3,3,3
27823,1,1,1,1
23728,2,2,2,2
23729,2,1,1,1
36024,1,1,3,3
23743,1,1,1,1
23744,1,2,2,1
23745,2,1,1,1
23746,3,1,1,1
23747,1,2,1,3
23748,3,3,2,2
27846,4,1,3,3
27847,1,1,1,1
23758,1,1,1,1
23759,1,2,2,1
27865,1,1,1,1
27866,1,1,1,1
27867,1,1,1,1
27868,1,1,1,1
27869,1,1,1,1
27874,2,2,3,3
27875,2,2,3,2
27876,1,1,1,1
27886,1,1,1,1
27894,3,3,3,3
27906,1,1,1,1
27907,1,1,1,1
23812,3,3,3,3
23816,1,1,1,1
23817,1,1,1,1
23821,1,1,1,1
23863,1,1,1,1
28003,2,2,2,2
28004,1,1,1,1
28005,1,1,1,1
28006,1,1,1,1
28007,1,2,1,1
28021,1,1,1,1
28024,1,1,1,1
28029,1,2,2,2
28032,1,1,1,1
28033,2,2,2,2
28034,2,2,2,2
28035,1,2,2,2
28036,2,2,2,2
28052,1,1,1,1
28072,1,1,1,1
28089,2,2,2,2
28099,2,3,4,3
28100,1,2,3,3
28101,1,2,2,2
28102,1,2,2,2
28103,1,1,2,3
28111,1,1,1,1
28112,2,1,2,2
28114,1,1,1,1
28122,1,1,1,1
28126,1,1,1,1
28190,1,1,1,1
28191,1,1,1,1
24104,1,1,1,1
28200,1,1,1,1
24106,1,1,1,1
24105,2,2,1,1
24108,2,1,1,1
28247,1,1,1,1
28264,1,2,1,1
28281,3,3,3,3
28282,2,2,3,2
28283,2,2,1,1
28292,2,2,3,2
36524,2,2,2,2
36525,2,1,2,3
28340,3,3,3,3
36534,1,1,1,1
28362,3,3,3,3
28369,1,1,1,1
28370,1,1,1,1
24277,1,1,1,1
24278,1,1,1,1
28401,1,1,1,2
28402,3,3,3,3
28403,1,2,2,3
28408,1,1,1,1
28409,1,1,1,1
28410,2,2,2,2
28413,2,2,2,2
28415,1,2,4,4
28425,1,1,1,1
28435,1,1,1,1
28470,1,1,1,1
28483,1,1,1,1
28484,2,3,3,3
24389,2,1,1,1
28485,1,1,2,1
24390,1,1,1,1
28499,1,1,1,1
28500,1,1,1,1
36691,1,1,1,1
28501,2,1,1,1
28508,1,1,1,1
28509,1,1,1,1
28545,1,1,1,1
28546,1,1,1,1
28568,1,1,1,1
28569,1,1,1,1
24473,1,2,1,2
28572,2,2,1,1
28615,1,1,1,1
24529,1,1,1,1
